instance	family	max_arity	rc
rus_100_200_1_1	DBN	2	6
rus_100_200_2_1	DBN	2	6
rus_100_200_3_1	DBN	2	6
rus_100_200_3_3	DBN	2	6
rus_100_200_4_3	DBN	2	6
rus_100_200_5_3	DBN	2	6
rus_100_200_6_1	DBN	2	6
rus_100_200_7_1	DBN	2	6
rus_20_40_0_1	DBN	2	6
rus_20_40_0_2	DBN	2	6
rus_20_40_0_3	DBN	2	6
rus_20_40_1_1	DBN	2	6
rus_20_40_1_2	DBN	2	6
rus_20_40_1_3	DBN	2	6
rus_20_40_2_1	DBN	2	6
rus_20_40_2_2	DBN	2	6
rus_20_40_2_3	DBN	2	6
rus_20_40_3_1	DBN	2	6
rus_20_40_3_2	DBN	2	6
rus_20_40_3_3	DBN	2	6
rus_20_40_4_1	DBN	2	6
rus_20_40_4_2	DBN	2	6
rus_20_40_4_3	DBN	2	6
rus_20_40_5_1	DBN	2	6
rus_20_40_5_2	DBN	2	6
rus_20_40_5_3	DBN	2	6
rus_20_40_6_1	DBN	2	6
rus_20_40_6_2	DBN	2	6
rus_20_40_6_3	DBN	2	6
rus_20_40_7_1	DBN	2	6
rus_20_40_7_2	DBN	2	6
rus_20_40_7_3	DBN	2	6
rus_20_40_8_1	DBN	2	6
rus_20_40_8_2	DBN	2	6
rus_20_40_8_3	DBN	2	6
rus_20_40_9_1	DBN	2	6
rus_20_40_9_2	DBN	2	6
rus_20_40_9_3	DBN	2	6
rus2_100_200_0_1	DBN	2	6
rus2_100_200_1_1	DBN	2	6
rus2_100_200_3_1	DBN	2	6
rus2_100_200_3_3	DBN	2	6
rus2_100_200_5_1	DBN	2	6
rus2_100_200_5_2	DBN	2	6
rus2_100_200_6_3	DBN	2	6
rus2_100_200_7_1	DBN	2	6
rus2_100_200_8_1	DBN	2	6
rus2_100_200_9_1	DBN	2	6
rus2_20_40_0_1	DBN	2	6
rus2_20_40_0_2	DBN	2	6
rus2_20_40_0_3	DBN	2	6
rus2_20_40_1_1	DBN	2	6
rus2_20_40_1_2	DBN	2	6
rus2_20_40_1_3	DBN	2	6
rus2_20_40_2_1	DBN	2	6
rus2_20_40_2_2	DBN	2	6
rus2_20_40_2_3	DBN	2	6
rus2_20_40_3_1	DBN	2	6
rus2_20_40_3_2	DBN	2	6
rus2_20_40_3_3	DBN	2	6
rus2_20_40_4_1	DBN	2	6
rus2_20_40_4_2	DBN	2	6
rus2_20_40_4_3	DBN	2	6
rus2_20_40_5_1	DBN	2	6
rus2_20_40_5_2	DBN	2	6
rus2_20_40_5_3	DBN	2	6
rus2_20_40_6_1	DBN	2	6
rus2_20_40_6_2	DBN	2	6
rus2_20_40_6_3	DBN	2	6
rus2_20_40_7_1	DBN	2	6
rus2_20_40_7_2	DBN	2	6
rus2_20_40_7_3	DBN	2	6
rus2_20_40_8_1	DBN	2	6
rus2_20_40_8_2	DBN	2	6
rus2_20_40_8_3	DBN	2	6
rus2_20_40_9_1	DBN	2	6
rus2_20_40_9_2	DBN	2	6
rus2_20_40_9_3	DBN	2	6
rus2_50_100_0_2	DBN	2	6
rus2_50_100_0_3	DBN	2	6
rus2_50_100_1_1	DBN	2	6
rus2_50_100_1_3	DBN	2	6
rus2_50_100_2_1	DBN	2	6
rus2_50_100_3_1	DBN	2	6
rus2_50_100_3_2	DBN	2	6
rus2_50_100_4_1	DBN	2	6
rus2_50_100_4_2	DBN	2	6
