instance	family	max_arity	rc
geom-40-2-ext_1000	Coloring	2	6
le-450-5a-2-ext_1000	Coloring	2	6
grid80x80.f15.wrap	Grid	2	6
grid40x40.f5	Grid	2	6
grid20x20.f10.wrap	Grid	2	6
grid80x80.f5	Grid	2	6
grid40x40.f15	Grid	2	6
grid20x20.f15.wrap	Grid	2	6
grid20x20.f15	Grid	2	6
grid20x20.f10	Grid	2	6
grid40x40.f10	Grid	2	6
grid80x80.f10.wrap	Grid	2	6
grid80x80.f5.wrap	Grid	2	6
grid80x80.f10	Grid	2	6
grid80x80.f2	Grid	2	6
grid40x40.f10.wrap	Grid	2	6
grid80x80.f2.wrap	Grid	2	6
grid20x20.f5.wrap	Grid	2	6
grid40x40.f2	Grid	2	6
grid40x40.f2.wrap	Grid	2	6
grid40x40.f15.wrap	Grid	2	6
grid40x40.f5.wrap	Grid	2	6
grid80x80.f15	Grid	2	6
rus2_20_40_8_3	DBN	NA	5
rus2_50_100_5_2	DBN	NA	5
rus_20_40_8_1	DBN	NA	5
rus2_50_100_5_1	DBN	NA	5
rus_20_40_5_2	DBN	NA	5
rus_20_40_9_1	DBN	NA	5
rus2_100_200_0_1	DBN	NA	5
rus_20_40_1_1	DBN	NA	5
rus_20_40_3_1	DBN	NA	5
rus_20_40_3_2	DBN	NA	5
rus_20_40_1_2	DBN	NA	5
rus_20_40_6_3	DBN	NA	5
rus2_20_40_0_2	DBN	NA	5
rus_50_100_3_2	DBN	NA	5
rus2_50_100_8_1	DBN	NA	5
rus_20_40_0_1	DBN	NA	5
rus_20_40_0_2	DBN	NA	5
rus2_20_40_7_1	DBN	NA	5
rus2_20_40_3_3	DBN	NA	5
rus2_50_100_2_1	DBN	NA	5
rus2_20_40_2_1	DBN	NA	5
rus2_20_40_7_2	DBN	NA	5
rus_50_100_9_3	DBN	NA	5
rus2_50_100_9_3	DBN	NA	5
rus2_50_100_7_2	DBN	NA	5
rus2_50_100_0_3	DBN	NA	5
rus2_50_100_3_2	DBN	NA	5
rus2_20_40_2_3	DBN	NA	5
rus_20_40_2_3	DBN	NA	5
rus_20_40_9_3	DBN	NA	5
rus2_50_100_3_1	DBN	NA	5
rus2_20_40_8_2	DBN	NA	5
rus2_20_40_1_1	DBN	NA	5
rus2_50_100_4_2	DBN	NA	5
rus2_20_40_5_2	DBN	NA	5
rus2_20_40_6_3	DBN	NA	5
rus2_20_40_5_3	DBN	NA	5
rus_20_40_3_3	DBN	NA	5
rus_50_100_2_3	DBN	NA	5
rus2_20_40_2_2	DBN	NA	5
rus2_20_40_4_1	DBN	NA	5
rus2_50_100_6_2	DBN	NA	5
rus_20_40_5_1	DBN	NA	5
rus_50_100_6_1	DBN	NA	5
rus2_50_100_7_3	DBN	NA	5
rus_20_40_9_2	DBN	NA	5
rus_20_40_8_2	DBN	NA	5
rus_20_40_4_1	DBN	NA	5
rus2_20_40_7_3	DBN	NA	5
rus_100_200_7_1	DBN	NA	5
rus2_20_40_9_3	DBN	NA	5
rus_20_40_0_3	DBN	NA	5
rus2_20_40_6_2	DBN	NA	5
rus_50_100_4_3	DBN	NA	5
rus2_100_200_3_3	DBN	NA	5
rus_20_40_8_3	DBN	NA	5
rus2_20_40_9_2	DBN	NA	5
rus2_50_100_1_1	DBN	NA	5
rus_50_100_6_2	DBN	NA	5
rus_50_100_7_2	DBN	NA	5
rus_20_40_6_1	DBN	NA	5
rus2_20_40_6_1	DBN	NA	5
rus_20_40_6_2	DBN	NA	5
rus2_100_200_5_2	DBN	NA	5
rus2_100_200_6_3	DBN	NA	5
rus_20_40_1_3	DBN	NA	5
rus_50_100_7_1	DBN	NA	5
rus2_20_40_1_3	DBN	NA	5
rus_100_200_5_3	DBN	NA	5
rus2_50_100_6_1	DBN	NA	5
rus_20_40_4_2	DBN	NA	5
rus2_50_100_4_1	DBN	NA	5
rus2_20_40_5_1	DBN	NA	5
rus_20_40_7_1	DBN	NA	5
rus2_100_200_5_1	DBN	NA	5
rus_100_200_1_1	DBN	NA	5
rus_50_100_3_1	DBN	NA	5
rus_100_200_4_3	DBN	NA	5
rus2_100_200_9_1	DBN	NA	5
rus2_20_40_8_1	DBN	NA	5
rus_20_40_2_1	DBN	NA	5
rus2_20_40_0_1	DBN	NA	5
rus_20_40_4_3	DBN	NA	5
rus2_50_100_6_3	DBN	NA	5
rus_100_200_6_1	DBN	NA	5
rus_100_200_3_3	DBN	NA	5
rus2_20_40_3_2	DBN	NA	5
rus2_100_200_7_1	DBN	NA	5
rus2_20_40_3_1	DBN	NA	5
rus2_100_200_8_1	DBN	NA	5
rus_20_40_7_2	DBN	NA	5
rus2_50_100_0_2	DBN	NA	5
rus_50_100_4_1	DBN	NA	5
rus2_20_40_0_3	DBN	NA	5
rus_20_40_5_3	DBN	NA	5
rus_100_200_2_1	DBN	NA	5
rus_100_200_3_1	DBN	NA	5
rus_50_100_8_1	DBN	NA	5
rus2_20_40_4_3	DBN	NA	5
rus2_100_200_1_1	DBN	NA	5
rus2_20_40_4_2	DBN	NA	5
rus2_50_100_1_3	DBN	NA	5
rus_20_40_7_3	DBN	NA	5
