instance	family	nvars	max_arity	n_ge10	n_ge20
cat_paths_60_100_0000	Auction	101	2	0	0
cat_paths_60_100_0001	Auction	103	2	0	0
cat_paths_60_100_0002	Auction	102	2	0	0
cat_paths_60_100_0003	Auction	100	2	0	0
cat_paths_60_100_0004	Auction	101	2	0	0
cat_paths_60_100_0005	Auction	100	2	0	0
cat_paths_60_100_0006	Auction	102	2	0	0
cat_paths_60_100_0007	Auction	100	2	0	0
cat_paths_60_110_0000	Auction	110	2	0	0
cat_paths_60_110_0001	Auction	113	2	0	0
cat_paths_60_110_0002	Auction	110	2	0	0
cat_paths_60_110_0003	Auction	110	2	0	0
cat_paths_60_110_0004	Auction	110	2	0	0
cat_paths_60_110_0005	Auction	113	2	0	0
cat_paths_60_110_0006	Auction	110	2	0	0
cat_paths_60_110_0007	Auction	113	2	0	0
cat_paths_60_120_0000	Auction	123	2	0	0
cat_paths_60_120_0001	Auction	122	2	0	0
cat_paths_60_120_0002	Auction	120	2	0	0
cat_paths_60_120_0003	Auction	120	2	0	0
cat_paths_60_120_0004	Auction	121	2	0	0
cat_paths_60_120_0005	Auction	120	2	0	0
cat_paths_60_120_0006	Auction	123	2	0	0
cat_paths_60_120_0007	Auction	120	2	0	0
cat_paths_60_130_0000	Auction	130	2	0	0
cat_paths_60_130_0001	Auction	131	2	0	0
cat_paths_60_130_0002	Auction	134	2	0	0
cat_paths_60_130_0003	Auction	132	2	0	0
cat_paths_60_130_0004	Auction	130	2	0	0
cat_paths_60_130_0005	Auction	130	2	0	0
cat_paths_60_130_0006	Auction	131	2	0	0
cat_paths_60_130_0007	Auction	131	2	0	0
cat_paths_60_140_0000	Auction	141	2	0	0
cat_paths_60_140_0001	Auction	143	2	0	0
cat_paths_60_140_0002	Auction	141	2	0	0
cat_paths_60_140_0003	Auction	144	2	0	0
cat_paths_60_140_0004	Auction	144	2	0	0
cat_paths_60_140_0005	Auction	141	2	0	0
cat_paths_60_140_0006	Auction	141	2	0	0
cat_paths_60_140_0007	Auction	142	2	0	0
cat_paths_60_150_0000	Auction	150	2	0	0
cat_paths_60_150_0001	Auction	150	2	0	0
cat_paths_60_150_0002	Auction	150	2	0	0
cat_paths_60_150_0003	Auction	151	2	0	0
cat_paths_60_150_0004	Auction	152	2	0	0
cat_paths_60_150_0005	Auction	150	2	0	0
cat_paths_60_150_0006	Auction	154	2	0	0
cat_paths_60_150_0007	Auction	153	2	0	0
cat_paths_60_160_0000	Auction	160	2	0	0
cat_paths_60_160_0001	Auction	161	2	0	0
cat_paths_60_160_0002	Auction	162	2	0	0
cat_paths_60_160_0003	Auction	161	2	0	0
cat_paths_60_160_0004	Auction	160	2	0	0
cat_paths_60_160_0005	Auction	163	2	0	0
cat_paths_60_160_0006	Auction	164	2	0	0
cat_paths_60_160_0007	Auction	161	2	0	0
cat_paths_60_170_0000	Auction	170	2	0	0
cat_paths_60_170_0003	Auction	171	2	0	0
cat_paths_60_170_0004	Auction	171	2	0	0
cat_paths_60_170_0005	Auction	172	2	0	0
cat_paths_60_170_0006	Auction	171	2	0	0
cat_paths_60_170_0007	Auction	171	2	0	0
cat_paths_60_70_0000	Auction	70	2	0	0
cat_paths_60_70_0001	Auction	73	2	0	0
cat_paths_60_70_0002	Auction	70	2	0	0
cat_paths_60_70_0003	Auction	70	2	0	0
cat_paths_60_70_0004	Auction	70	2	0	0
cat_paths_60_70_0005	Auction	72	2	0	0
cat_paths_60_70_0006	Auction	71	2	0	0
cat_paths_60_70_0007	Auction	74	2	0	0
cat_paths_60_80_0000	Auction	80	2	0	0
cat_paths_60_80_0001	Auction	81	2	0	0
cat_paths_60_80_0002	Auction	81	2	0	0
cat_paths_60_80_0003	Auction	80	2	0	0
cat_paths_60_80_0004	Auction	80	2	0	0
cat_paths_60_80_0005	Auction	84	2	0	0
cat_paths_60_80_0006	Auction	82	2	0	0
cat_paths_60_80_0007	Auction	81	2	0	0
cat_paths_60_90_0000	Auction	90	2	0	0
cat_paths_60_90_0001	Auction	93	2	0	0
cat_paths_60_90_0002	Auction	93	2	0	0
cat_paths_60_90_0003	Auction	92	2	0	0
cat_paths_60_90_0004	Auction	91	2	0	0
cat_paths_60_90_0005	Auction	93	2	0	0
cat_paths_60_90_0006	Auction	90	2	0	0
cat_paths_60_90_0007	Auction	91	2	0	0
cat_sched_60_100_0000	Auction	149	2	0	0
cat_sched_60_100_0001	Auction	111	2	0	0
cat_sched_60_100_0002	Auction	111	2	0	0
cat_sched_60_100_0003	Auction	127	2	0	0
cat_sched_60_100_0004	Auction	107	2	0	0
cat_sched_60_100_0005	Auction	113	2	0	0
