instance	family	nvars	n_dom1	n_dom2	other_domains	real_vars
rus_50_100_8_1	DBN	944	647	297	none	297
rus_50_100_9_3	DBN	944	689	255	none	255
rus2_50_100_3_2	DBN	944	680	264	none	264
rus_20_40_1_2	DBN	854	702	152	none	152
rus_20_40_1_3	DBN	854	725	129	none	129
rus2_20_40_2_3	DBN	854	634	220	none	220
rus_20_40_8_3	DBN	854	621	233	none	233
rus2_50_100_7_3	DBN	944	702	242	none	242
rus2_20_40_5_3	DBN	854	652	202	none	202
rus2_100_200_5_1	DBN	1094	690	404	none	404
rus2_100_200_5_2	DBN	1094	711	383	none	383
rus_20_40_4_3	DBN	854	698	156	none	156
rus_20_40_5_1	DBN	854	639	215	none	215
rus_50_100_3_2	DBN	944	700	244	none	244
rus_50_100_4_1	DBN	944	682	262	none	262
rus2_20_40_8_1	DBN	854	667	187	none	187
rus2_20_40_0_2	DBN	854	639	215	none	215
rus_100_200_4_3	DBN	1094	698	396	none	396
rus_100_200_5_3	DBN	1094	713	381	none	381
rus_20_40_6_3	DBN	854	736	118	none	118
rus2_50_100_6_1	DBN	944	633	311	none	311
rus2_20_40_3_3	DBN	854	658	196	none	196
rus2_20_40_4_1	DBN	854	716	138	none	138
rus_50_100_6_2	DBN	944	694	250	none	250
rus_50_100_7_1	DBN	944	676	268	none	268
rus2_50_100_1_1	DBN	944	690	254	none	254
rus2_50_100_1_3	DBN	944	723	221	none	221
rus_20_40_3_1	DBN	854	624	230	none	230
rus_20_40_3_2	DBN	854	700	154	none	154
rus_100_200_2_1	DBN	1094	686	408	none	408
rus_20_40_0_2	DBN	854	603	251	none	251
rus_20_40_5_3	DBN	854	713	141	none	141
rus_20_40_6_1	DBN	854	663	191	none	191
rus2_100_200_8_1	DBN	1094	667	427	none	427
rus_20_40_9_3	DBN	854	689	165	none	165
rus_50_100_2_3	DBN	944	645	299	none	299
rus2_20_40_9_3	DBN	854	672	182	none	182
rus2_50_100_0_2	DBN	944	639	305	none	305
rus2_20_40_6_2	DBN	854	653	201	none	201
rus2_20_40_6_3	DBN	854	661	193	none	193
rus_20_40_7_3	DBN	854	720	134	none	134
rus2_50_100_7_1	DBN	944	698	246	none	246
rus2_20_40_9_1	DBN	854	717	137	none	137
rus2_50_100_4_1	DBN	944	716	228	none	228
rus2_50_100_4_2	DBN	944	612	332	none	332
rus_20_40_4_1	DBN	854	682	172	none	172
rus2_20_40_1_2	DBN	854	715	139	none	139
rus2_20_40_1_3	DBN	854	723	131	none	131
rus2_100_200_3_1	DBN	1094	658	436	none	436
rus2_20_40_4_3	DBN	854	694	160	none	160
rus2_50_100_3_1	DBN	944	658	286	none	286
rus2_50_100_5_1	DBN	944	690	254	none	254
rus_50_100_7_2	DBN	944	653	291	none	291
rus_20_40_2_1	DBN	854	686	168	none	168
rus_20_40_2_2	DBN	854	632	222	none	222
rus2_100_200_6_3	DBN	1094	661	433	none	433
rus2_20_40_8_3	DBN	854	546	308	none	308
rus_100_200_3_1	DBN	1094	624	470	none	470
rus_100_200_3_3	DBN	1094	672	422	none	422
rus_50_100_4_3	DBN	944	698	246	none	246
rus_50_100_6_1	DBN	944	663	281	none	281
rus2_50_100_8_1	DBN	944	667	277	none	277
rus2_50_100_9_3	DBN	944	672	272	none	272
rus_20_40_0_3	DBN	854	672	182	none	182
rus_20_40_1_1	DBN	854	726	128	none	128
rus2_20_40_2_1	DBN	854	647	207	none	207
rus_50_100_3_1	DBN	944	624	320	none	320
rus_20_40_9_1	DBN	854	670	184	none	184
rus_20_40_9_2	DBN	854	674	180	none	180
rus_100_200_7_1	DBN	1094	676	418	none	418
rus_20_40_0_1	DBN	854	642	212	none	212
rus2_20_40_3_1	DBN	854	658	196	none	196
rus2_20_40_3_2	DBN	854	680	174	none	174
rus2_20_40_0_3	DBN	854	622	232	none	232
