relpath	collection	family	format	nvars	class	copied	bytes
evalgm/CFN/Auction/cat_paths_60_100_0000.wcsp	evalgm	Auction	wcsp	101	boolean	yes	35667
evalgm/CFN/Auction/cat_paths_60_100_0001.wcsp	evalgm	Auction	wcsp	103	boolean	yes	39133
evalgm/CFN/Auction/cat_paths_60_100_0002.wcsp	evalgm	Auction	wcsp	102	boolean	yes	35461
evalgm/CFN/Auction/cat_paths_60_100_0003.wcsp	evalgm	Auction	wcsp	100	boolean	yes	40758
evalgm/CFN/Auction/cat_paths_60_100_0004.wcsp	evalgm	Auction	wcsp	101	boolean	yes	42554
evalgm/CFN/Auction/cat_paths_60_100_0005.wcsp	evalgm	Auction	wcsp	100	boolean	yes	33976
evalgm/CFN/Auction/cat_paths_60_100_0006.wcsp	evalgm	Auction	wcsp	102	boolean	yes	45324
evalgm/CFN/Auction/cat_paths_60_100_0007.wcsp	evalgm	Auction	wcsp	100	boolean	yes	38522
evalgm/CFN/Auction/cat_paths_60_110_0000.wcsp	evalgm	Auction	wcsp	110	boolean	yes	39476
evalgm/CFN/Auction/cat_paths_60_110_0001.wcsp	evalgm	Auction	wcsp	113	boolean	yes	60332
evalgm/CFN/Auction/cat_paths_60_110_0002.wcsp	evalgm	Auction	wcsp	110	boolean	yes	42274
evalgm/CFN/Auction/cat_paths_60_110_0003.wcsp	evalgm	Auction	wcsp	110	boolean	yes	40118
evalgm/CFN/Auction/cat_paths_60_110_0004.wcsp	evalgm	Auction	wcsp	110	boolean	yes	35106
evalgm/CFN/Auction/cat_paths_60_110_0005.wcsp	evalgm	Auction	wcsp	113	boolean	yes	69728
evalgm/CFN/Auction/cat_paths_60_110_0006.wcsp	evalgm	Auction	wcsp	110	boolean	yes	44502
evalgm/CFN/Auction/cat_paths_60_110_0007.wcsp	evalgm	Auction	wcsp	113	boolean	yes	42957
evalgm/CFN/Auction/cat_paths_60_120_0000.wcsp	evalgm	Auction	wcsp	123	boolean	yes	47585
evalgm/CFN/Auction/cat_paths_60_120_0001.wcsp	evalgm	Auction	wcsp	122	boolean	yes	63819
evalgm/CFN/Auction/cat_paths_60_120_0002.wcsp	evalgm	Auction	wcsp	120	boolean	yes	57861
evalgm/CFN/Auction/cat_paths_60_120_0003.wcsp	evalgm	Auction	wcsp	120	boolean	yes	60689
evalgm/CFN/Auction/cat_paths_60_120_0004.wcsp	evalgm	Auction	wcsp	121	boolean	yes	53056
evalgm/CFN/Auction/cat_paths_60_120_0005.wcsp	evalgm	Auction	wcsp	120	boolean	yes	40509
evalgm/CFN/Auction/cat_paths_60_120_0006.wcsp	evalgm	Auction	wcsp	123	boolean	yes	60529
evalgm/CFN/Auction/cat_paths_60_120_0007.wcsp	evalgm	Auction	wcsp	120	boolean	yes	39761
evalgm/CFN/Auction/cat_paths_60_130_0000.wcsp	evalgm	Auction	wcsp	130	boolean	yes	76272
evalgm/CFN/Auction/cat_paths_60_130_0001.wcsp	evalgm	Auction	wcsp	131	boolean	yes	75009
evalgm/CFN/Auction/cat_paths_60_130_0002.wcsp	evalgm	Auction	wcsp	134	boolean	yes	57993
evalgm/CFN/Auction/cat_paths_60_130_0003.wcsp	evalgm	Auction	wcsp	132	boolean	yes	71187
evalgm/CFN/Auction/cat_paths_60_130_0004.wcsp	evalgm	Auction	wcsp	130	boolean	yes	64948
evalgm/CFN/Auction/cat_paths_60_130_0005.wcsp	evalgm	Auction	wcsp	130	boolean	yes	46033
evalgm/CFN/Auction/cat_paths_60_130_0006.wcsp	evalgm	Auction	wcsp	131	boolean	yes	59435
evalgm/CFN/Auction/cat_paths_60_130_0007.wcsp	evalgm	Auction	wcsp	131	boolean	yes	68662
evalgm/CFN/Auction/cat_paths_60_140_0000.wcsp	evalgm	Auction	wcsp	141	boolean	yes	86320
evalgm/CFN/Auction/cat_paths_60_140_0001.wcsp	evalgm	Auction	wcsp	143	boolean	yes	81726
evalgm/CFN/Auction/cat_paths_60_140_0002.wcsp	evalgm	Auction	wcsp	141	boolean	yes	73713
evalgm/CFN/Auction/cat_paths_60_140_0003.wcsp	evalgm	Auction	wcsp	144	boolean	yes	79063
evalgm/CFN/Auction/cat_paths_60_140_0004.wcsp	evalgm	Auction	wcsp	144	boolean	yes	86105
