set	instance	nvars	ncliques	boolean	bytes
MMAP	Grids_18	1600	4800	yes	189916
MMAP	Grids_19	1600	4800	yes	180020
MMAP	Grids_20	6400	19040	yes	729179
MMAP	Grids_21	1600	4800	yes	198564
MMAP	Grids_22	1600	4800	yes	183872
MMAP	Grids_23	1600	4720	yes	180352
MMAP	Grids_24	1600	4720	yes	194390
MMAP	Grids_25	1600	4720	yes	176408
MMAP	Grids_26	400	1200	yes	46128
MMAP	Grids_27	1600	4720	yes	185960
MMAP	Grids_28	400	1200	yes	48244
MMAP	Grids_29	400	1200	yes	44754
MMAP	Grids_30	400	1160	yes	44368
MMAP	ImageAlignment_11	350	3563	no	48133327
MMAP	ImageAlignment_12	30	465	no	1953712
MMAP	ImageAlignment_13	400	3334	no	64262877
MMAP	ImageAlignment_14	200	2128	no	15356507
MMAP	ImageAlignment_15	300	2732	no	28775581
MMAP	ObjectDetection_11	60	1830	no	1639861
MMAP	ObjectDetection_12	60	1830	no	3613270
MMAP	ObjectDetection_13	60	1830	no	6398505
MMAP	ObjectDetection_14	60	1830	no	1695491
MMAP	ObjectDetection_15	60	1830	no	3750723
MMAP	ObjectDetection_16	60	1830	no	6617847
MMAP	ObjectDetection_17	60	1830	no	1623291
MMAP	ObjectDetection_18	60	1830	no	3589961
MMAP	Promedas_11	2133	2133	yes	261178
MMAP	Promedas_12	1766	1766	yes	211523
MMAP	Promedas_13	2023	2023	yes	242739
MMAP	Promedas_14	1863	1863	yes	225336
MMAP	Promedas_15	2052	2052	yes	251664
MMAP	Promedas_16	1713	1712	yes	200782
MMAP	Promedas_17	1583	1583	yes	180984
MMAP	Promedas_18	1715	1714	yes	203749
MMAP	Promedas_19	1876	1876	yes	219910
MMAP	Promedas_20	1927	1927	yes	232150
MMAP	Promedas_21	1702	1702	yes	197812
MMAP	Promedas_22	1664	1664	yes	199155
MMAP	Promedas_23	1700	1700	yes	205972
MMAP	Promedas_24	1426	1426	yes	162485
MMAP	Promedas_25	1478	1478	yes	169784
MMAP	Promedas_26	1564	1563	yes	180569
MMAP	Promedas_27	1374	1374	yes	154611
MMAP	Promedas_28	1268	1267	yes	143083
MMAP	Promedas_29	1227	1227	yes	144811
MMAP	Promedas_30	1171	1171	yes	138563
MMAP	Promedas_31	1277	1277	yes	154018
MMAP	Promedas_32	1274	1273	yes	150621
MMAP	Promedas_33	1174	1174	yes	133495
MMAP	Promedas_34	1083	1083	yes	127416
MMAP	Promedas_35	1021	1021	yes	118138
MMAP	Promedas_36	1054	1054	yes	123058
MMAP	Promedas_37	1154	1154	yes	135116
MMAP	Promedas_38	1086	1086	yes	123551
MMAP	Promedas_39	1356	1356	yes	155479
MMAP	Promedas_40	1203	1203	yes	134231
MMAP	Promedas_41	943	943	yes	108380
MMAP	Promedas_42	915	915	yes	108271
MMAP	Promedas_43	928	928	yes	101849
